"";"id_povincia";"idccaa";"provincia";"ccaa"
"1";"02";"07";"ALBACETE";"Castilla la Mancha"
"2";"03";"10";"ALICANTE";"Comunidad Valenciana"
"3";"04";"01";"ALMERÍA";"Andalucia"
"4";"01";"16";"ARABA/ÁLAVA";"País Vasco"
"5";"33";"03";"ASTURIAS";"Asturias"
"6";"05";"08";"ÁVILA";"Castilla y León"
"7";"06";"11";"BADAJOZ";"Extremadura"
"8";"07";"04";"BALEARS (ILLES)";"Baleares"
"9";"08";"09";"BARCELONA";"Cataluña"
"10";"48";"16";"BIZKAIA";"País Vasco"
"11";"09";"08";"BURGOS";"Castilla y León"
"12";"10";"11";"CÁCERES";"Extremadura"
"13";"11";"01";"CÁDIZ";"Andalucia"
"14";"39";"06";"CANTABRIA";"Cantabria"
"15";"12";"10";"CASTELLÓN / CASTELLÓ";"Comunidad Valenciana"
"16";"51";"18";"CEUTA";"Ceuta"
"17";"13";"07";"CIUDAD REAL";"Castilla la Mancha"
"18";"14";"01";"CÓRDOBA";"Andalucia"
"19";"15";"12";"CORUÑA (A)";"Galicia"
"20";"16";"07";"CUENCA";"Castilla la Mancha"
"21";"20";"16";"GIPUZKOA";"País Vasco"
"22";"17";"09";"GIRONA";"Cataluña"
"23";"18";"01";"GRANADA";"Andalucia"
"24";"19";"07";"GUADALAJARA";"Castilla la Mancha"
"25";"21";"01";"HUELVA";"Andalucia"
"26";"22";"02";"HUESCA";"Aragón"
"27";"23";"01";"JAÉN";"Andalucia"
"28";"24";"08";"LEÓN";"Castilla y León"
"29";"25";"09";"LLEIDA";"Cataluña"
"30";"27";"12";"LUGO";"Galicia"
"31";"28";"13";"MADRID";"Madrid"
"32";"29";"01";"MÁLAGA";"Andalucia"
"33";"52";"19";"MELILLA";"Melilla"
"34";"30";"14";"MURCIA";"Murcia"
"35";"31";"15";"NAVARRA";"Navarra"
"36";"32";"12";"OURENSE";"Galicia"
"37";"34";"08";"PALENCIA";"Castilla y León"
"38";"35";"05";"PALMAS (LAS)";"Canarias"
"39";"36";"12";"PONTEVEDRA";"Galicia"
"40";"26";"17";"RIOJA (LA)";"Rioja (La)"
"41";"37";"08";"SALAMANCA";"Castilla y León"
"42";"38";"05";"SANTA CRUZ DE TENERIFE";"Canarias"
"43";"40";"08";"SEGOVIA";"Castilla y León"
"44";"41";"01";"SEVILLA";"Andalucia"
"45";"42";"08";"SORIA";"Castilla y León"
"46";"43";"09";"TARRAGONA";"Cataluña"
"47";"44";"02";"TERUEL";"Aragón"
"48";"45";"07";"TOLEDO";"Castilla la Mancha"
"49";"46";"10";"VALENCIA / VALÈNCIA";"Comunidad Valenciana"
"50";"47";"08";"VALLADOLID";"Castilla y León"
"51";"49";"08";"ZAMORA";"Castilla y León"
"52";"50";"02";"ZARAGOZA";"Aragón"
